Estep = 0.000100; Niter = 21; Ntrial = 10000000
Energy, # of states, average Ev, average coupling
0.0635743,6.146666,0.0636177,0.00209925
0.0636743,6.160375,0.0637396,0.00193859
0.0637743,11.153876,0.0638062,0.00237802
0.0638743,9.977405,0.0639224,0.00249448
0.0639743,7.209152,0.0640338,0.00100680
0.0640743,6.850892,0.0641206,0.00217309
0.0641743,10.793014,0.0642345,0.00136824
0.0642743,12.043957,0.0643179,0.00150716
0.0643743,13.036223,0.0644228,0.00238361
0.0644743,9.252776,0.0645235,0.00201776
0.0645743,11.728954,0.0646153,0.00274955
0.0646743,13.440433,0.0647294,0.00238732
0.0647743,15.257038,0.0648171,0.00270090
0.0648743,16.275136,0.0649252,0.00117234
0.0649743,17.351934,0.0650160,0.00197859
0.0650743,20.030589,0.0651265,0.00172891
0.0651743,16.161469,0.0652181,0.00254140
0.0652743,11.373470,0.0653329,0.00203648
0.0653743,12.964191,0.0654262,0.00273558
0.0654743,12.904421,0.0655118,0.00193665
0.0655743,10.264149,0.0656413,0.00232947
0.0656743,18.281812,0.0657213,0.00202332
0.0657743,9.287183,0.0658281,0.00130772
0.0658743,12.811577,0.0659207,0.00221136
0.0659743,19.490494,0.0660252,0.00167164
0.0660743,11.214116,0.0661302,0.00261941
0.0661743,13.987113,0.0662322,0.00191917
0.0662743,14.855540,0.0663153,0.00295650
0.0663743,10.252908,0.0664348,0.00208798
0.0664743,19.078584,0.0665168,0.00152427
0.0665743,16.124490,0.0666206,0.00204435
0.0666743,20.204698,0.0667356,0.00243594
0.0667743,16.789106,0.0668206,0.00180553
0.0668743,20.847814,0.0669306,0.00209630
0.0669743,15.828947,0.0670250,0.00224726
0.0670743,22.510776,0.0671263,0.00322298
0.0671743,17.968597,0.0672341,0.00238330
0.0672743,27.470449,0.0673308,0.00203194
0.0673743,20.948650,0.0674293,0.00268560
0.0674743,27.155548,0.0675234,0.00216438
0.0675743,22.619526,0.0676197,0.00188331
0.0676743,17.426760,0.0677218,0.00299074
0.0677743,17.991497,0.0678298,0.00183249
0.0678743,21.337311,0.0679308,0.00271345
0.0679743,24.344769,0.0680273,0.00181138
0.0680743,18.497638,0.0681186,0.00214003
0.0681743,21.245664,0.0682283,0.00231985
0.0682743,23.861869,0.0683244,0.00201227
0.0683743,20.241815,0.0684317,0.00194768
0.0684743,31.057464,0.0685233,0.00217877
0.0685743,20.419318,0.0686322,0.00269804
0.0686743,28.269703,0.0687201,0.00230399
0.0687743,21.106732,0.0688239,0.00229917
0.0688743,24.869902,0.0689263,0.00222502
0.0689743,25.573841,0.0690280,0.00212986
0.0690743,33.296845,0.0691215,0.00226321
0.0691743,29.090298,0.0692171,0.00248610
0.0692743,26.299561,0.0693278,0.00156880
0.0693743,31.377383,0.0694294,0.00273040
0.0694743,27.151392,0.0695226,0.00284507
0.0695743,35.292135,0.0696216,0.00215847
0.0696743,34.862180,0.0697131,0.00257429
0.0697743,33.514851,0.0698227,0.00254052
0.0698743,35.528287,0.0699285,0.00246005
0.0699743,33.708026,0.0700240,0.00227441
0.0700743,29.347843,0.0701352,0.00200414
0.0701743,24.970860,0.0702296,0.00210054
0.0702743,35.173357,0.0703268,0.00251296
0.0703743,26.408664,0.0704293,0.00225823
0.0704743,29.323965,0.0705275,0.00251630
0.0705743,45.005110,0.0706269,0.00219453
0.0706743,32.521042,0.0707262,0.00188156
0.0707743,40.337569,0.0708220,0.00220882
0.0708743,36.334258,0.0709274,0.00276936
0.0709743,33.697049,0.0710220,0.00228965
0.0710743,31.915411,0.0711253,0.00268069
0.0711743,39.566802,0.0712276,0.00232796
0.0712743,47.320139,0.0713258,0.00255615
0.0713743,42.854375,0.0714253,0.00246565
0.0714743,40.365430,0.0715243,0.00204872
0.0715743,40.419957,0.0716256,0.00241599
0.0716743,38.746543,0.0717264,0.00278388
0.0717743,44.129246,0.0718235,0.00310432
0.0718743,49.253939,0.0719182,0.00290801
0.0719743,49.427242,0.0720183,0.00253333
0.0720743,44.780684,0.0721192,0.00277631
0.0721743,45.747332,0.0722188,0.00220883
0.0722743,35.610564,0.0723219,0.00223481
0.0723743,50.164304,0.0724170,0.00252285
0.0724743,38.290422,0.0725248,0.00261244
0.0725743,54.923583,0.0726249,0.00221146
0.0726743,49.517380,0.0727290,0.00253502
0.0727743,43.960493,0.0728243,0.00246401
0.0728743,45.432769,0.0729305,0.00249055
0.0729743,48.754566,0.0730224,0.00227204
0.0730743,58.615862,0.0731198,0.00218428
0.0731743,52.327019,0.0732237,0.00248754
0.0732743,63.629890,0.0733211,0.00235429
0.0733743,55.398636,0.0734193,0.00273120
0.0734743,50.183468,0.0735270,0.00292933
0.0735743,47.768680,0.0736223,0.00300067
0.0736743,63.286901,0.0737257,0.00266889
0.0737743,57.287849,0.0738176,0.00245866
0.0738743,68.493114,0.0739253,0.00275258
0.0739743,68.541141,0.0740249,0.00272551
0.0740743,52.277564,0.0741232,0.00299896
0.0741743,60.948324,0.0742258,0.00266935
0.0742743,56.841327,0.0743226,0.00275272
0.0743743,70.132829,0.0744235,0.00261510
0.0744743,72.141970,0.0745265,0.00250036
0.0745743,58.294842,0.0746232,0.00205674
0.0746743,75.719947,0.0747282,0.00246507
0.0747743,57.550200,0.0748168,0.00272016
0.0748743,68.982731,0.0749213,0.00257010
0.0749743,63.313614,0.0750291,0.00263409
0.0750743,76.623214,0.0751214,0.00253290
0.0751743,69.306305,0.0752228,0.00284846
0.0752743,69.892660,0.0753233,0.00256316
0.0753743,83.202114,0.0754212,0.00246733
0.0754743,84.385109,0.0755265,0.00252162
0.0755743,74.297857,0.0756278,0.00245138
0.0756743,86.270201,0.0757227,0.00252620
0.0757743,81.018587,0.0758260,0.00310475
0.0758743,94.900437,0.0759208,0.00280854
0.0759743,80.304345,0.0760264,0.00312378
0.0760743,83.277767,0.0761223,0.00311549
0.0761743,81.452585,0.0762316,0.00295334
0.0762743,82.988032,0.0763220,0.00270823
0.0763743,94.293655,0.0764206,0.00297171
0.0764743,93.236215,0.0765193,0.00284791
0.0765743,76.150032,0.0766187,0.00287103
0.0766743,77.774058,0.0767230,0.00289512
0.0767743,97.731217,0.0768231,0.00228089
0.0768743,98.798501,0.0769236,0.00293393
0.0769743,81.293227,0.0770281,0.00261242
0.0770743,101.982152,0.0771274,0.00235890
0.0771743,123.030500,0.0772231,0.00248203
0.0772743,96.137889,0.0773264,0.00287833
0.0773743,96.368935,0.0774251,0.00297192
0.0774743,99.898253,0.0775237,0.00281301
0.0775743,88.708174,0.0776269,0.00269528
0.0776743,111.259035,0.0777264,0.00262332
0.0777743,122.411498,0.0778242,0.00260572
0.0778743,114.883811,0.0779236,0.00275551
0.0779743,132.754511,0.0780274,0.00300068
0.0780743,120.734611,0.0781244,0.00267374
0.0781743,100.652100,0.0782235,0.00317837
0.0782743,121.365907,0.0783249,0.00276426
0.0783743,129.104286,0.0784202,0.00319285
0.0784743,131.446400,0.0785255,0.00280701
0.0785743,107.022588,0.0786269,0.00312093
0.0786743,120.835920,0.0787264,0.00285853
0.0787743,112.475927,0.0788233,0.00248136
0.0788743,120.095775,0.0789265,0.00300132
0.0789743,115.531717,0.0790264,0.00308335
0.0790743,130.168061,0.0791217,0.00260165
0.0791743,129.798902,0.0792280,0.00279180
0.0792743,133.212024,0.0793252,0.00271774
0.0793743,137.839801,0.0794268,0.00302099
0.0794743,128.935717,0.0795227,0.00265176
0.0795743,136.127683,0.0796245,0.00287648
0.0796743,160.228670,0.0797263,0.00270195
0.0797743,147.268591,0.0798255,0.00294044
0.0798743,128.141437,0.0799281,0.00287964
0.0799743,142.971463,0.0800258,0.00303935
0.0800743,146.335067,0.0801245,0.00273796
0.0801743,182.111636,0.0802236,0.00318451
0.0802743,178.662870,0.0803258,0.00319581
0.0803743,166.918639,0.0804214,0.00327980
0.0804743,179.667555,0.0805275,0.00302670
0.0805743,169.971390,0.0806198,0.00316355
0.0806743,141.403530,0.0807228,0.00349255
0.0807743,162.373162,0.0808258,0.00285992
0.0808743,160.515897,0.0809232,0.00270605
